district,1,2,3,4,5,6,7,8,9,10
上湯川,0.000,0.000,0.250,0.000,0.250,0.000,0.000,0.000,0.250,0.250
中島,0.600,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.200
中野,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000
乃木,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000
亀田,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
亀田中野,0.000,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000
亀田本,0.500,0.000,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000
五稜郭,0.278,0.028,0.222,0.028,0.000,0.111,0.028,0.167,0.083,0.056
住吉,0.167,0.000,0.167,0.000,0.000,0.000,0.167,0.000,0.000,0.500
元,0.070,0.123,0.316,0.018,0.000,0.053,0.070,0.000,0.281,0.070
入舟,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000,0.167,0.167
八幡,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000
函館山,0.000,0.000,0.000,0.000,0.000,0.000,0.600,0.000,0.000,0.400
千代台,0.286,0.000,0.000,0.000,0.571,0.000,0.000,0.000,0.000,0.143
原木,0.000,0.000,0.000,0.000,0.500,0.500,0.000,0.000,0.000,0.000
大,0.000,0.250,0.000,0.000,0.000,0.000,0.167,0.083,0.417,0.083
大手,0.083,0.083,0.750,0.000,0.000,0.000,0.000,0.000,0.083,0.000
大森,0.600,0.000,0.000,0.200,0.200,0.000,0.000,0.000,0.000,0.000
大船,0.000,0.000,0.250,0.000,0.250,0.500,0.000,0.000,0.000,0.000
宇賀浦,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
安浦,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
宝来,0.462,0.077,0.231,0.000,0.000,0.000,0.077,0.115,0.000,0.038
宮前,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
富岡,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
尾札部,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,1.000
川汲,0.250,0.000,0.250,0.250,0.000,0.000,0.000,0.250,0.000,0.000
広野,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
弁天,0.300,0.000,0.000,0.200,0.000,0.000,0.100,0.000,0.200,0.200
弥生,0.091,0.000,0.091,0.000,0.000,0.000,0.273,0.182,0.182,0.182
御崎,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
志海苔,0.000,0.000,0.000,0.500,0.000,0.500,0.000,0.000,0.000,0.000
恵山岬,0.200,0.000,0.000,0.000,0.400,0.200,0.200,0.000,0.000,0.000
戸倉,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
新川,0.800,0.000,0.200,0.000,0.000,0.000,0.000,0.000,0.000,0.000
日ノ浜,0.250,0.000,0.000,0.000,0.250,0.000,0.500,0.000,0.000,0.000
日乃出,0.200,0.000,0.000,0.000,0.000,0.400,0.200,0.000,0.000,0.200
日吉,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000,0.000
日浦,0.000,0.000,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000
昭和,0.000,0.000,0.000,0.000,1.000,0.000,0.000,0.000,0.000,0.000
時任,1.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
末広,0.186,0.105,0.326,0.023,0.000,0.070,0.047,0.035,0.140,0.070
本,0.724,0.000,0.241,0.000,0.000,0.000,0.000,0.000,0.034,0.000
杉並,0.333,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.667,0.000
東山,0.000,0.000,0.333,0.000,0.667,0.000,0.000,0.000,0.000,0.000
東川,0.500,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.500
