point_id,angle,direction,filename
--ypT_4_T8qFdd-DvSkxpw,0,front,pano_--ypT_4_T8qFdd-DvSkxpw_h0.jpg
--ypT_4_T8qFdd-DvSkxpw,90,right,pano_--ypT_4_T8qFdd-DvSkxpw_h90.jpg
--ypT_4_T8qFdd-DvSkxpw,180,back,pano_--ypT_4_T8qFdd-DvSkxpw_h180.jpg
--ypT_4_T8qFdd-DvSkxpw,270,left,pano_--ypT_4_T8qFdd-DvSkxpw_h270.jpg
-0-hL4yYqKX7r2WTvuDQbw,0,front,pano_-0-hL4yYqKX7r2WTvuDQbw_h0.jpg
-0-hL4yYqKX7r2WTvuDQbw,90,right,pano_-0-hL4yYqKX7r2WTvuDQbw_h90.jpg
-0-hL4yYqKX7r2WTvuDQbw,180,back,pano_-0-hL4yYqKX7r2WTvuDQbw_h180.jpg
-0-hL4yYqKX7r2WTvuDQbw,270,left,pano_-0-hL4yYqKX7r2WTvuDQbw_h270.jpg
-0TCmpuPtO8eZqVoJu4JOg,0,front,pano_-0TCmpuPtO8eZqVoJu4JOg_h0.jpg
-0TCmpuPtO8eZqVoJu4JOg,90,right,pano_-0TCmpuPtO8eZqVoJu4JOg_h90.jpg
-0TCmpuPtO8eZqVoJu4JOg,180,back,pano_-0TCmpuPtO8eZqVoJu4JOg_h180.jpg
-0TCmpuPtO8eZqVoJu4JOg,270,left,pano_-0TCmpuPtO8eZqVoJu4JOg_h270.jpg
-0gR_pWBdLNPE5t__YrmXA,0,front,pano_-0gR_pWBdLNPE5t__YrmXA_h0.jpg
-0gR_pWBdLNPE5t__YrmXA,90,right,pano_-0gR_pWBdLNPE5t__YrmXA_h90.jpg
-0gR_pWBdLNPE5t__YrmXA,180,back,pano_-0gR_pWBdLNPE5t__YrmXA_h180.jpg
-0gR_pWBdLNPE5t__YrmXA,270,left,pano_-0gR_pWBdLNPE5t__YrmXA_h270.jpg
-3g0_wKJvpx22nR1jAKiSg,0,front,pano_-3g0_wKJvpx22nR1jAKiSg_h0.jpg
-3g0_wKJvpx22nR1jAKiSg,90,right,pano_-3g0_wKJvpx22nR1jAKiSg_h90.jpg
-3g0_wKJvpx22nR1jAKiSg,180,back,pano_-3g0_wKJvpx22nR1jAKiSg_h180.jpg
-3g0_wKJvpx22nR1jAKiSg,270,left,pano_-3g0_wKJvpx22nR1jAKiSg_h270.jpg
-4rX19DKVnkneDO9QsGDEg,0,front,pano_-4rX19DKVnkneDO9QsGDEg_h0.jpg
-4rX19DKVnkneDO9QsGDEg,90,right,pano_-4rX19DKVnkneDO9QsGDEg_h90.jpg
-4rX19DKVnkneDO9QsGDEg,180,back,pano_-4rX19DKVnkneDO9QsGDEg_h180.jpg
-4rX19DKVnkneDO9QsGDEg,270,left,pano_-4rX19DKVnkneDO9QsGDEg_h270.jpg
-4ynaHBxTC66LAwTgQIcuA,0,front,pano_-4ynaHBxTC66LAwTgQIcuA_h0.jpg
-4ynaHBxTC66LAwTgQIcuA,90,right,pano_-4ynaHBxTC66LAwTgQIcuA_h90.jpg
-4ynaHBxTC66LAwTgQIcuA,180,back,pano_-4ynaHBxTC66LAwTgQIcuA_h180.jpg
-4ynaHBxTC66LAwTgQIcuA,270,left,pano_-4ynaHBxTC66LAwTgQIcuA_h270.jpg
-5R9N82gq-VPME3i-UIJAA,0,front,pano_-5R9N82gq-VPME3i-UIJAA_h0.jpg
-5R9N82gq-VPME3i-UIJAA,90,right,pano_-5R9N82gq-VPME3i-UIJAA_h90.jpg
