cluster,name
0,カトリック元町教会
0,コメダ珈琲店 函館ベイエリア店
0,ゴシケヴィッチ胸像
0,シュークリームの専門店 ママデコレ
0,ペリー提督来航記念碑
0,丸山園茶舗 お茶の多目的空間 御茶ノ倉
0,亀井勝一郎文学碑
0,住三吉神社
0,元町公園
0,函館中華会館
0,函館公園
0,函館公園　こどものくに
0,函館四天王像
0,函館市公民館
0,函館市文学館
0,函館朝市ひろば
0,函館海産商同業協同組合事務所
0,函館漁港 船入澗防波堤
0,函館聖ヨハネ教会
0,函館護國神社
0,北海道坂本龍馬記念館
0,北海道第一歩の地碑
0,厳島神社
0,土方歳三最期の地碑
0,坂本龍馬像
0,外国人墓地
0,大手町ハウス函館（旧浅野セメント函館営業所、現cafe centenaire)
0,市立函館博物館
0,弁天台場跡
0,新島襄ブロンズ像
0,新撰組屯所跡地（旧称名寺）
0,新選組最後の地碑
0,日本基督教団函館教会
0,旧函館博物館一号・二号
0,旧百十三銀行本店（SEC電算センタービル）
0,旧第一銀行函館支店（函館市文学館）
0,旧野口梅吉商店
0,旧金森洋物店（市立函館博物館郷土資料館）
0,相馬株式会社社屋
0,碧血碑
0,立待岬
0,箱館高田屋嘉兵衛資料館
0,船魂神社
0,金森赤レンガ倉庫（観光スポット）
0,高田屋嘉兵衛銅像
0,鮨処 江戸松
0,鯨族供養塔
1,710candle
1,BURGER SHOP HOT BOX
1,Endeavour To Go 二十間坂
1,Flower Picnic Cafe
1,Pres de La Mer
1,café D'ici
1,えびす食堂
1,おばんざい村かみ
1,おひるごはんカフェ taom
1,きくよ食堂　本店
1,すしの鮮昇 函館朝市店
1,キッチンバー　ボーダー
1,ジンギスカン 羊羊亭
1,スイーツ&デリカショップ Ashibino
1,ハセガワストア　ベイエリア店
1,パン工房　元町ぼん・ぱん
1,ビストロ ボンザミ
1,ラッキーピエロ　ベイエリア本店
1,レストキャビン キャプテン
1,レストラン ノルテ
1,一花亭　たびじ
1,五島軒本店 レストラン雪河亭
1,元祖活いか釣堀（函館朝市イカ釣り体験）
1,函館とんき 大門店
1,函館ダイニング　雅家
1,函館ベイ美食倶楽部
1,函館昭和のおもちゃ博物館＆Café フラフープ
1,函館朝市どんぶり横丁市場
1,函館魚市場食堂 魚いち亭
1,函館麺厨房あじさい 紅店
1,函館麺厨房あじさいJR函館駅店
1,十字屋珈琲店
1,味の一番
1,和Dining 井井
1,回転寿司 函館まるかつ水産本店
1,回転寿司 根室花まる キラリス函館店
1,日本料理 うなぎ 松前（函館国際ホテル）
1,朝市お食事処 山三 道下商店
1,朝市食堂　二番館
1,朝市食堂　函館ぶっかけ
1,気ままなパン屋　窯蔵
1,津軽屋食堂
1,海鮮中華 海風楼（ラビスタ函館ベイ）
1,海鮮味処 すずや食堂
1,辺見旅館
1,鮨処はこだて
1,麓 ROKU（Villa Concordia Resort&Spa）
1,ＯＭＯ5函館By星野リゾート
2,Angélique Voyage
2,Cafeマリオドール
2,Green Gables
2,Jazz spot Leaf
2,MOSSTREES
2,Pain屋
2,SUQ+
2,cafe CHI's
2,shell bar　きさらぎ
2,あさり坂
2,いか清 大門
2,うにむらかみ 函館本店
2,うにむらかみ函館駅前店
2,きんぎょ茶屋
2,にっぽんCHACHACHA 函館ストア
2,はこだて工芸舎
2,はこだて自由市場
2,ギャラリー村岡
2,ザ・ベリー・ベリー・ビースト
2,ハセガワストア 函館駅前店
2,プレイリーハウス（旧佐田邸）
2,マルキン焼きそば
2,ラーメン 津つ井軒
2,丸井栄餅
2,丸善 瀧澤商店
2,丸昌
2,元祖インドカレー小いけ
2,函館 和洋モダン貸衣裳館　はこだて明治館店
2,函館いか家
2,函館ひかりの屋台 大門横丁
2,函館グルメジンギスカン ラムジン
2,函館市北方民族資料館
2,函館朝市 いくら亭
2,北の台所　ヤマタイチ
2,和風とんかつ専門店 とん悦
2,四季風味 ささ樹
2,夜景バー エステラード（プレミアホテル-CABIN PRESIDENT-函館）
2,天然酵母パン　tombolo
2,居酒屋 兆治
2,手作りソフト 大三坂
2,料亭 冨茂登
2,朝市の味処 茶夢
2,欧風料理屋　紫ぜん
2,海鮮処 函館山
2,滋養軒
2,炉ばた大謀
2,自家焙煎珈琲　Café TUTU
2,舶来居酒屋 杉の子
2,茶房　旧茶屋亭
2,茶房　無垢里（グルメ）
2,蔵や
2,蕎麦彩彩　久留葉
2,蕎麦蔵
2,蛸焼 こがね
2,魚河岸酒場　魚一心
2,麺屋いなせ
3,710candle（キャンドル作り）
3,BAR SHARES HISHII
3,BAR hanabi
3,COFFEEマルシェ
3,Cafe miss Jeanie（HAKODATE 男爵倶楽部 HOTEL & RESORTS）
3,Comme chez vous
3,G4 Space（SODAPOP）
3,Green Forest Cafe
3,HAKOVIVA
3,Jolly Jellyfish 元町公園店
3,OZIO
3,RESTAURANT 唐草館
3,ROMANTiCO ROMANTiCA
3,Ristorante Buon Natale
3,WOODROW'S BRITISH PUB
3,ozigi
3,restaurant Toui
3,あうん堂ホール
3,いるか文庫ショップ
3,くらぶはうす
3,はこだてみらい館
3,はこだてわいん葡萄館西部店
3,はこだてキッズプラザ
3,はこだてビール
3,はこだて明治館
3,はこだて明治館 サンドブラスト体験工房
3,はこだて明治館　手作りオルゴール工房
3,ふれあいイカ広場
3,まるたま小屋
3,らーめん＆カレーぱんだ
3,アゼリア（函館国際ホテル）
3,イタリアンカフェ サルティンボッカ
3,イタリアンゴーゴー
3,カネモリブリックラボ
3,カリフォルニアベイビー
3,カール・レイモン歴史展示館
3,キラリス函館
3,クラフトベース モノクラ
3,ザ・グラススタジオイン函館（吹きガラス体験）
3,シェリーズバー（ラビスタ函館ベイ）
3,ジンギスカン函館吉田
3,スープカリー喰堂 吉田商店
3,デイスパ プアマナ 大手町店
3,ハコダテソフトハウス元町　北櫻茶
3,ハーバーダイニング（プレミアホテル-CABIN PRESIDENT-函館）
3,パティスリー ラパン・ド・ネージュ
3,ビストロやまくろ
3,ブラッスリー カリヨン
3,プティ・メルヴィーユ函館駅前店
3,プティ・メルヴィーユ赤レンガ倉庫BAYはこだて店
3,ホタルぱん
3,ホテルグローバルビュー函館（旧ホテルパコ函館）
3,モンモランシー（函館国際ホテル）
3,ラッキーピエロ マリーナ末広店
3,ラッキーピエロ 函館駅前店
3,ラーメン高橋屋
3,リソルスポーツプラザ
3,レイモンハウス元町店（グルメ）
3,レストラン ヨシヤ
3,ロシア・東欧雑貨直輸入店 チャイカ
3,ヴィクトリアンローズ　スーベニアショップ（函館市旧イギリス領事館）
3,ヴィクトリアンローズ（函館市旧イギリス領事館）
3,中国料理 香蘭（ホテル函館ロイヤル シーサイド）
3,五島軒十字街プロミエル・カモイ店
3,元町ガラス工房
3,函館まるなま水産
3,函館洋菓子スナッフルス 金森洋物館店
3,函館洋菓子スナッフルス函館エキナカ店
3,北海道四季彩館JR函館店（JR函館駅売店）
3,印度カレー　小いけ本店
3,古きものなどなど ひし伊
3,大地のめぐみ
3,新函館らーめん龍鳳
3,日和館
3,旧函館区公会堂 はこだてハイカラ衣裳館
3,櫻井ラーメン店　櫻井家
3,生田ステンドグラス 函館アトリエ
3,着てそぞろ（あつらえ庵）
3,祐鮨
3,箱館ジンギスカン本店
3,茶店バー　カフェ　やまじょう
3,鳳蘭
4,チャチャ登り
4,二十間坂
4,八幡坂
4,函館八幡宮
4,千歳坂
4,咬菜園跡
4,基坂
4,大三坂
4,姿見坂
4,山上大神宮
4,己巳役海軍戦死碑
4,常盤坂
4,幸坂
4,弥生坂
4,日和坂
4,旧安田銀行函館支店・旧ホテルニューハコダテ（ホテルHakoBA函館）
4,旧岡本邸
4,旧桟橋（東浜桟橋）
4,東坂
4,石井家住宅
4,船見坂
4,茶房　無垢里（観光スポット）
4,谷地坂
4,青柳坂
4,魚見坂
5,Cafe' LAMINAIRE
5,cafe 海と硝子
5,maison FUJIYA Hakodate
5,○波商店
5,ながまれ号（道南いさりび鉄道）
5,はこだて海鮮市場 いかいか亭
5,はこだて海鮮市場本店
5,まるごと北海道ストア えぞりす
5,カフェテリア　モーリエ
5,シーグラスギャラリー　海からの贈りもの
5,スターバックス コーヒー 函館ベイサイド店
5,元町配水場
5,函館市入舟町　前浜海水浴場
5,函館市国際水産・海洋総合研究センター
5,函館市青函連絡船記念館摩周丸
5,函館朝市
5,函館海鮮料理 海光房
5,函館港末広緑地（函館西波止場広場）
5,喫茶ニューサロン海峡
5,懐石の里 煌
5,新島襄海外渡航の地碑
5,旧函館西警察署庁舎（函館市臨海研究所）
5,海鮮居酒屋ヤン衆漁場 二代目昌栄丸
5,海鮮料理と釜めし あらき
5,穴澗海岸
5,食の宝庫 北海道
6,【休館中】旧相馬家住宅
6,ともえ大橋
6,はこだて（大門）グリーンプラザ
6,アーレンスフォックス号（ポンプ消防車）
6,レイモンハウス元町店（みやげ店）
6,七財橋
6,五島軒本店メモリアルホール蘆火野
6,傷心惨目の碑
6,函館 さくら家
6,函館の消火栓
6,函館ハリストス正教会
6,函館市旧イギリス領事館（開港記念館）
6,函館市立弥生小学校
6,大手町ハウス函館 cafe centenaire
6,天然温泉 はこだて大森の湯
6,天祐寺
6,太刀川家住宅店舗
6,実行寺
6,市中屋
6,市電操車塔
6,旧カール・レイモン居宅
6,旧ロシア領事館
6,旧丸井今井百貨店（函館市地域交流まちづくりセンター）
6,旧函館区公会堂
6,旧函館郵便局（はこだて明治館）
6,旧北海道庁函館支庁庁舎（Jolly Jellyfish 元町公園店）
6,旧小林写真館
6,旧日本銀行函館支店（函館市北方民族資料館）
6,旧梅津商店（はこだて工芸舎）
6,旧金森船具店
6,旧開拓使函館支庁書籍庫
6,明治天皇御上陸記念碑
6,本願寺函館別院（西本願寺）
6,真宗大谷派　函館別院（東本願寺）
6,称名寺
6,茶房 ひし伊（旧入村質店）
6,茶房 菊泉
6,護国神社坂
6,赤い靴の少女像
6,遺愛幼稚園
6,青函連絡船ゆかりの錨
6,青函連絡船海難者殉難碑
7,360 Studio
7,CASA FLOR
7,FMいるかオープンスタジオ
7,cafe DripDrop
7,【2025年4月1日リニューアルオープン】ティーショップ夕日
7,いろは
7,えびす屋 函館店
7,かね久 山田手打ちそば店
7,すき焼 阿さ利本店
7,そば処 東京庵本店
7,そば処　まるみなみ
7,はこだて工芸舎（陶芸体験）
7,はこだて恋いちご洋菓子店
7,バーチャル縄文遺跡発掘ツアー
7,ビアバー山下
7,ラッキーピエロ　十字街銀座店
7,ラ・コンチャ・イ・バスク（もとバルレストラン ラ・コンチャ（La Concha））
7,ル・モン・ガギュー（函館国際ホテル）
7,元町茶寮
7,函館 千秋庵総本家 宝来町本店
7,函館 漁船クルーズ
7,函館ビヤホール
7,函館山ロープウェイ
7,函館市電
7,函館西波止場
7,南部坂
7,喫茶 想苑
7,大正湯
7,定食の店 たつみ食堂
7,居酒屋 山吹
7,旧亀井邸
7,旧函館区公会堂売店（函館みやげ はこぱこ）
7,旧松橋商店（港の庵）
7,満る大
7,石川啄木一族の墓
7,石川啄木居住地跡
7,石川啄木歌碑
7,石川啄木歌碑（青柳町）
7,箱館 元町珈琲店
7,箱館ハイカラ號
7,緑の島
7,観光遊覧船ブルームーン
7,谷地頭温泉
7,遊漁船「第18金龍丸」（イカ釣り）
7,金森ベイクルーズ
7,金森赤レンガ倉庫（みやげ店）
7,青柳市民庭球場
7,高龍寺
