cluster,road_rank1,road_rank2,road_rank3,road_rank4,sidewalk_rank1,sidewalk_rank2,sidewalk_rank3,sidewalk_rank4,building_rank1,building_rank2,building_rank3,building_rank4,fence_rank1,fence_rank2,fence_rank3,fence_rank4,pole_rank1,pole_rank2,pole_rank3,pole_rank4,vegetation_rank1,vegetation_rank2,vegetation_rank3,vegetation_rank4,terrain_rank1,terrain_rank2,terrain_rank3,terrain_rank4,sky_rank1,sky_rank2,sky_rank3,sky_rank4,car_rank1,car_rank2,car_rank3,car_rank4,wall_rank1,wall_rank2,wall_rank3,wall_rank4,traffic sign_rank1,traffic sign_rank2,traffic sign_rank3,traffic sign_rank4,person_rank1,person_rank2,person_rank3,person_rank4,bicycle_rank1,bicycle_rank2,bicycle_rank3,bicycle_rank4,train_rank1,train_rank2,train_rank3,train_rank4,traffic light_rank1,traffic light_rank2,traffic light_rank3,traffic light_rank4,truck_rank1,truck_rank2,truck_rank3,truck_rank4,rider_rank1,rider_rank2,rider_rank3,rider_rank4,bus_rank1,bus_rank2,bus_rank3,bus_rank4,motorcycle_rank1,motorcycle_rank2,motorcycle_rank3,motorcycle_rank4
1,0.36395520236504436,0.30683569310348724,0.2527750763768085,0.15779908721440492,0.02398148465510355,0.00816869348226541,0.0028502753822028026,0.0007318169362256995,0.05661667234576168,0.027880111741475287,0.011978427546024972,0.005231591120870319,0.03180214617523556,0.013044308119860617,0.0047515422703189765,0.0011563247900509492,0.007346259695065835,0.002114516521992862,0.0007491167612172629,0.00018438338861684976,0.7088773770097245,0.6167026483434381,0.5433657078729034,0.4647236274218314,0.07198538698546579,0.03497750786175132,0.01658556781064342,0.006038642755829165,0.11916688583461645,0.06856671998105326,0.03312701703653021,0.012195885281851433,0.0026239665152012212,0.0005468668252502712,0.00011278336919173421,1.741666134167447e-05,0.013516903918477808,0.002472632919169229,0.00033231675339177093,3.858336175003008e-06,0.0016619747107013414,0.00036967501228352383,0.00011105005263339236,5.044163312503173e-05,0.0006646168796589892,0.00011603336149175975,4.172501030836107e-05,5.51666809167085e-06,0.00014285003314175567,1.473333310001165e-05,1.6666666666666667e-08,0.0,0.00010351667040833864,4.499995500004501e-07,0.0,0.0,1.079167278334289e-05,4.1666708333375e-08,0.0,0.0,0.0006691837719504408,6.900006900006667e-06,0.0,0.0,0.00011713334803339443,1.0975010116676193e-05,2.666666666666666e-07,0.0,3.2750020916676835e-06,0.0,0.0,0.0,6.383337716670458e-06,0.0,0.0,0.0
2,0.38742802179325364,0.3440019142649508,0.29718969916006566,0.20433074497477471,0.058914009078872315,0.029245309452693293,0.010879839367641185,0.004726628281120593,0.1837122155753577,0.12243641992187487,0.06994638283329957,0.03725966098741808,0.17486508572302334,0.1015407866784586,0.055755803840540324,0.03623778392667472,0.017805985632039147,0.0052767490833070365,0.0023214629568018975,0.0008342171662523369,0.13233902959622332,0.08773521486640672,0.046816155076182225,0.024241829925447288,0.04778902600762988,0.02565951642426753,0.011190218571195228,0.004053822864448412,0.42916741953664905,0.38665293062927286,0.3301376862321738,0.2738973617858944,0.009624345371843817,0.002478679629305862,0.0005698114603890891,0.00014806275674876965,0.025157619128752952,0.010667829539895817,0.0016399315632924277,0.00030508574929731796,0.0011235313441668527,0.00035485143354889204,6.340570419434302e-05,7.679994868575692e-06,0.0008984569957099892,0.00021577141537736227,2.256570674860486e-05,1.5314300342886857e-06,0.00023506292780013852,6.826858050858953e-05,7.799996874304126e-06,0.0,0.0008614285877150019,8.085716431431702e-05,6.382859022858286e-06,1.1428571428571429e-08,8.386855532006686e-05,4.1314308000079205e-06,2.514284000002514e-07,0.0,0.0008285084555607604,5.9908577634311696e-05,2.245716531430286e-06,0.0,3.4262836668601756e-05,8.228578000005714e-07,0.0,0.0,5.536001526287095e-05,0.0,0.0,0.0,2.7371428285708858e-06,0.0,0.0,0.0
3,0.3839846130643982,0.34247482328337686,0.2870387030543049,0.20805735359286628,0.06026225087285441,0.02930978400349769,0.008593259056266251,0.003155734873746744,0.24395751031772478,0.15123137016211385,0.08387837199435191,0.04938723689634528,0.02974879932577823,0.014320961665377033,0.005010162606473568,0.0014786020741024645,0.017685876480509878,0.006239827868205427,0.0027305393989369123,0.0009143502716958167,0.3160794291592852,0.21488648108906536,0.12184175508496138,0.06317171054511796,0.13555750606545447,0.07914151173782927,0.035723700299784576,0.018478536187502895,0.3591899552956522,0.3013990634089806,0.22553454476087412,0.13695026622026685,0.018857144892141624,0.006518441878689164,0.001527871637027376,0.00040238304105101304,0.018200635174107086,0.00569294034627888,0.0013859399485325397,0.0003619945628292194,0.0017578672589332604,0.00039028726047228454,9.043091237491229e-05,1.0740083623808225e-05,0.0008284010013977939,0.0001472462378030996,2.5302322221639188e-05,3.2202467482905813e-06,0.0004218768542740325,4.279754810400402e-05,1.4145002777021545e-06,0.0,0.0003498069995408662,8.961012815596027e-05,9.575936251729412e-08,0.0,0.00014058550908086105,1.5318744504798836e-05,1.357044834475316e-06,8.344744870059235e-08,0.0010181207267822938,5.341037967444769e-05,1.2161427236673626e-06,1.3679904240779754e-08,5.221068468406029e-05,1.7482897455554336e-06,9.575932968545826e-09,0.0,7.604925036802879e-05,1.573184268131327e-07,0.0,0.0,1.421067428045767e-05,5.020516963070041e-07,0.0,0.0
4,0.35492450104311357,0.29105836176986255,0.2334341840238055,0.14419508913879558,0.07761909193774538,0.03666540604588065,0.011617785805652505,0.004102689296378625,0.2555010631447682,0.16436754864575623,0.09093753814025968,0.047874717094476035,0.0650211093570747,0.03249988607867289,0.012767121745603948,0.003782903597965504,0.01979993244370447,0.006719516205636979,0.002426197544308086,0.0006932358654847064,0.26056922225718293,0.1743416169815767,0.11236632718116117,0.0653066735922228,0.0767656603127007,0.03762589853068665,0.01610414326060013,0.004453439025016174,0.3655106714651762,0.3033039934749382,0.2197919739334689,0.12717859989404268,0.014052462601717348,0.0038296945850867254,0.0007917001375299978,9.589176833128765e-05,0.21433493790446229,0.10428358240193936,0.029147658025593284,0.008323432587913356,0.001730146372822774,0.0003833184457647121,7.0388511331269e-05,3.751592726115363e-06,0.001174394941656989,0.00031416552563747315,3.889171272614205e-05,8.853501146503439e-07,0.0004411209717330249,6.0140155974556306e-05,1.2738878980942674e-08,0.0,0.0005882801553955735,1.7496812961801125e-05,0.0,0.0,0.00010966876557333234,1.4305747700674644e-05,3.630571974523567e-07,0.0,0.0004664842921723799,1.7025470700650752e-05,1.3821654522294522e-06,0.0,0.00024331201453536513,8.000635531854841e-05,2.802547770700637e-07,0.0,4.789815235679026e-06,0.0,0.0,0.0,3.704461077072991e-05,1.6885316547838216e-05,0.0,0.0
5,0.4356595508542486,0.41130329665777093,0.37252121311041925,0.3091243413636054,0.07702891847857754,0.03931669375366695,0.016362486799722395,0.007836904228772052,0.2534638745280215,0.17065484313563545,0.12399341339574434,0.08059505687564922,0.022209373082587858,0.009439298958844235,0.0033031990340031576,0.0010994650384463169,0.03141046611846618,0.017022089972543716,0.009765985137240153,0.005320646201592651,0.1024559070036585,0.05950382750804109,0.03223577083461013,0.01628768806964561,0.034689680163479585,0.016369526832526047,0.007867791697089609,0.003079855847729258,0.3902048015422108,0.34368186534153666,0.29716479614114794,0.2273256691750612,0.019719443066116397,0.008592132374886608,0.003452380041065186,0.0010813232672970097,0.010136759288442045,0.0037886120329638246,0.000584052419525442,0.00010224132160205259,0.006846234384586701,0.0025410968913331055,0.0010028457705831466,0.0003337935488062823,0.0013222835969987762,0.00027798506638828193,7.628110474636255e-05,8.748761052249532e-06,0.00043697764607505247,5.452241055231822e-05,2.589552952738137e-06,6.592033308464179e-07,0.002914689476188228,0.00022348769831125292,2.3383110447836319e-07,0.0,0.0023604154314948752,0.0007245745196698672,0.0002486542221320675,6.215173032592334e-05,0.002132997390036389,0.00028778102936339635,5.900490743790098e-06,0.0,0.00013654974782601487,1.130597455723103e-05,2.2437807164192685e-06,0.0,0.0014225961277075175,0.0007668862907196253,0.0,0.0,3.5420398435334655e-05,4.853229067171642e-06,0.0,0.0
6,0.322581,0.3106643106643107,0.1929688070311929,0.139329,0.0784230784230784,0.073762,0.061941,0.0005519994480005,0.205496,0.119050119050119,0.0439869560130439,0.010715,0.0992869007130992,0.033745,0.002598,0.0018260018260018,0.055576,0.010854,0.0106399893600106,0.0034720034720034,0.006875,0.0066650066650066,0.0031639968360031,0.000796,0.0572850572850573,0.012637,0.005322,0.002001997998002,0.3967803967803968,0.337016662983337,0.298376,0.296724,0.0254220254220254,0.022937,0.0,0.0,0.005569,0.0025289974710025,0.000229,7.0000070000070015e-06,0.0053049946950053,0.001514,0.0002100002100002,0.0,0.004512,0.000583,0.0001950001950001,3.899996100003899e-05,0.0,0.0,0.0,0.0,0.4270020000000001,0.2978737021262978,0.0,0.0,0.000222,9.3e-05,0.0,0.0,0.0046359953640046,1.2e-05,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
7,0.3281259812819006,0.2984928853108853,0.25043056231302024,0.20670192161207837,0.0454613349543349,0.016598999999999968,0.013222011610345268,0.007128995250345001,0.4765671569565097,0.40094104844525713,0.3256401530808562,0.2714867325237325,0.15183035716840484,0.0294650004956952,0.019727991792685567,0.00012966667900001235,0.03800934206934207,0.022490027021072768,0.0103713332510078,0.0035706643580022666,0.046624325051341564,0.011495010587677199,0.009302660957675266,0.0005516670816679,0.032148333333333334,0.010888680416688966,0.009968990629009333,0.003538333333333333,0.27790017126050465,0.21189732109853546,0.17815256968509696,0.11947533333333331,0.0280086626016707,0.018418711151455967,0.006034666678999945,0.0005403333333333333,0.0173243333333333,0.0008413341973342353,6.599993400003334e-05,0.0,0.005611670646003967,0.0022599980070019663,0.0018186688480032332,0.0002539999999999333,0.021621999999999964,0.015411704275770835,0.0094506629296704,0.005143003614003601,0.0086829971833385,0.0044220079343542,0.0034609992530007,0.0006966669890003,0.0021616646223353666,4.733347033373334e-05,1.2333333333333334e-05,0.0,0.000367001076003204,1.5333333333333334e-05,1.2333333333333338e-05,0.0,0.014796352293709068,0.002712331329668667,0.0007456666666666666,0.0,0.000481666789667,2.1000063000189005e-05,0.0,0.0,0.00016433316900013335,0.0,0.0,0.0,5.8666666666666665e-05,0.0,0.0,0.0
8,0.3795856967055883,0.34345786999363936,0.2913918129341549,0.21298049095021396,0.11737313048574902,0.07050166080197313,0.038598759450076243,0.021941524153946478,0.43806158104041704,0.3340657777593839,0.25731704277060774,0.18109690747985568,0.031993562294084316,0.012685262347638069,0.004351010907042257,0.0012092465088768647,0.02170885004363812,0.008474891435103745,0.003848777109265625,0.0014733103807252448,0.08240063299130673,0.042613985083905605,0.021650534041618482,0.008210222761359317,0.034203757239226064,0.015001849479636212,0.004828419385348084,0.0013265852502448738,0.3260965122193195,0.26804695328529976,0.208881833651949,0.1379888355590646,0.026227141360813132,0.009538526693682605,0.0033153233720641774,0.0008130921599462774,0.01658688955116073,0.005312785859034032,0.0008868270453737014,0.00014195942341042544,0.001988692844661695,0.00046842120183206615,0.00012723712060540125,2.5120129539806846e-05,0.003411387011679894,0.0012281108491028494,0.0003092948196664304,5.448361388304621e-05,0.002021399844609079,0.00034396263707994475,1.8708263901731398e-05,2.9641206708333383e-07,0.0006845493931911213,2.7620922912660804e-05,5.226201185661466e-07,0.0,0.00021528858171007814,3.702496278318466e-05,5.299532463341276e-06,5.288611840874898e-07,0.0018331481537238307,0.0002386957661359079,7.814353163814192e-06,7.098283697348128e-07,0.00024392522874470217,7.677063990646335e-06,8.424335101407488e-08,0.0,0.00029728856390665275,1.8499219998441343e-05,0.0,0.0,0.0001943572690922683,1.8720786271525746e-08,0.0,0.0
9,0.40360677887048746,0.3707453853728248,0.33323244210688124,0.27235896508394947,0.06178123759786328,0.03299580486275517,0.014599161431654002,0.004854120783123147,0.3217745749068815,0.23841172502658703,0.16992693371965742,0.12251770912389705,0.024562945341835264,0.009339676595567094,0.0032851170742362102,0.0009159397291367195,0.02058564267077751,0.00838608782184598,0.004018463745467783,0.0015679206072993748,0.0635401988971902,0.028384753020141214,0.01431228144566381,0.006246773474029276,0.032387971681159575,0.013773920311925158,0.004827599743599874,0.0014686719085369219,0.3741043464179918,0.33151064557857274,0.2757171464714449,0.2082367076890195,0.11028230362679199,0.05778569410946944,0.02596621598564101,0.009745597508846456,0.010766909575912642,0.0025143203448581043,0.0005459999028908292,0.00010470559645293577,0.0019143926301225201,0.000474935831581571,0.00012905285522275538,2.355849387927092e-05,0.00073989825685743,0.00012789433790583453,2.3799997841525327e-05,1.7358492037743396e-06,0.0006314037912571382,5.414341744915425e-05,2.0452860301945284e-06,0.0,0.0008558265612873984,4.345280908684151e-05,1.2679248452831396e-06,0.0,0.0002276980817775459,3.486414924154213e-05,5.713206011323932e-06,1.9245281886811696e-07,0.0023357847652292468,0.0002572377505624427,2.8543405347188084e-05,0.0,8.227548623402629e-05,3.486792792453208e-06,0.0,0.0,0.0002919925465511897,3.9773637735935855e-06,0.0,0.0,1.5166042509447573e-05,2.6415171320985655e-07,0.0,0.0
10,0.4284761020553573,0.4031823129323106,0.3590668588716006,0.2957775539763363,0.0885721169071317,0.047492260784399054,0.019904416227441,0.00982433314057484,0.2938111828869936,0.19680030926031622,0.13244126855242402,0.0885484797025794,0.02594126224192625,0.01122224514676185,0.003998338908543752,0.0010360148002141745,0.022968672282855946,0.010772274455360421,0.005799095092568133,0.0026961174506053088,0.07939964864497963,0.04093287889108406,0.020098391482344023,0.009041952804609028,0.032732187666633834,0.01524665795935195,0.006165650452830102,0.0021933065514183592,0.3955185710160928,0.35675067987240755,0.3028353288285744,0.2236613800490963,0.020265551012669535,0.008780566774490574,0.0034586817359849617,0.0009318228875964579,0.012638956026897684,0.004482882332222932,0.0008895636789754825,0.00022970348492022842,0.0023217482452758606,0.0007089980116248471,0.00022038973988562757,4.527581858298318e-05,0.0011325010936233837,0.00015996402750579928,3.029846657964317e-05,4.676216239844022e-06,0.00042131846298306547,2.7241841160589233e-05,3.790806917392448e-06,2.5916038107957626e-07,0.0006543238139273585,9.61005978021684e-05,5.29980045237196e-06,0.0,0.000256668886292687,4.9032643349141675e-05,7.748169519661168e-06,5.796136675554757e-07,0.005841526074931572,0.001023017018395909,0.00012579806112536173,6.6622185209926715e-09,0.00010968954911535558,2.9387070712881376e-06,3.19786822118601e-08,0.0,0.0007558129473294597,6.049368547503709e-05,0.0,0.0,1.643304308729294e-05,1.3990672884743503e-08,0.0,0.0
